Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,353.399994,359.690002,351.980011,359.690002,359.690002,162070000
1990-01-03,359.690002,360.589996,357.890015,358.760010,358.760010,192330000
1990-01-04,358.760010,358.760010,352.890015,355.670013,355.670013,177000000
1990-01-05,355.670013,355.670013,351.350006,352.200012,352.200012,158530000
1990-01-08,352.200012,354.239990,350.540009,353.790009,353.790009,140110000
1990-01-09,353.829987,354.170013,349.609985,349.619995,349.619995,155210000
1990-01-10,349.619995,349.619995,344.320007,347.309998,347.309998,175990000
1990-01-11,347.309998,350.140015,347.309998,348.529999,348.529999,154390000
1990-01-12,348.529999,348.529999,339.489990,339.929993,339.929993,183880000
1990-01-15,339.929993,339.940002,336.570007,337.000000,337.000000,140590000
1990-01-16,337.000000,340.750000,333.369995,340.750000,340.750000,186070000
1990-01-17,340.769989,342.010010,336.260010,337.399994,337.399994,170470000
1990-01-18,337.399994,338.380005,333.980011,338.190002,338.190002,178590000
1990-01-19,338.190002,340.480011,338.190002,339.149994,339.149994,185590000
1990-01-22,339.140015,339.959991,330.279999,330.380005,330.380005,148380000
1990-01-23,330.380005,332.760010,328.670013,331.609985,331.609985,179300000
1990-01-24,331.609985,331.709991,324.170013,330.260010,330.260010,207830000
1990-01-25,330.260010,332.329987,325.329987,326.079987,326.079987,172270000
1990-01-26,326.089996,328.579987,321.440002,325.799988,325.799988,198190000
1990-01-29,325.799988,327.309998,321.790009,325.200012,325.200012,150770000
1990-01-30,325.200012,325.730011,319.829987,322.980011,322.980011,186030000
1990-01-31,322.980011,329.079987,322.980011,329.079987,329.079987,189660000
1990-02-01,329.079987,329.859985,327.760010,328.790009,328.790009,154580000
1990-02-02,328.790009,332.100006,328.089996,330.920013,330.920013,164400000
1990-02-05,330.920013,332.160004,330.450012,331.850006,331.850006,130950000
1990-02-06,331.850006,331.859985,328.200012,329.660004,329.660004,134070000
1990-02-07,329.660004,333.760010,326.549988,333.750000,333.750000,186710000
1990-02-08,333.750000,336.089996,332.000000,332.959991,332.959991,176240000
1990-02-09,333.019989,334.600006,332.410004,333.619995,333.619995,146910000
1990-02-12,333.619995,333.619995,329.970001,330.079987,330.079987,118390000
1990-02-13,330.079987,331.609985,327.920013,331.019989,331.019989,144490000
1990-02-14,331.019989,333.200012,330.640015,332.010010,332.010010,138530000
1990-02-15,332.010010,335.209991,331.609985,334.890015,334.890015,174620000
1990-02-16,334.890015,335.640015,332.420013,332.720001,332.720001,166840000
1990-02-20,332.720001,332.720001,326.260010,327.989990,327.989990,147300000
1990-02-21,327.910004,328.170013,324.470001,327.670013,327.670013,159240000
1990-02-22,327.670013,330.980011,325.700012,325.700012,325.700012,184320000
1990-02-23,325.700012,326.149994,322.100006,324.149994,324.149994,148490000
1990-02-26,324.160004,328.670013,323.980011,328.670013,328.670013,148900000
1990-02-27,328.679993,331.940002,328.470001,330.260010,330.260010,152590000
1990-02-28,330.260010,333.480011,330.160004,331.890015,331.890015,184400000
1990-03-01,331.890015,334.399994,331.079987,332.739990,332.739990,157930000
1990-03-02,332.739990,335.540009,332.720001,335.540009,335.540009,164330000
1990-03-05,335.540009,336.380005,333.489990,333.739990,333.739990,140110000
1990-03-06,333.739990,337.929993,333.570007,337.929993,337.929993,143640000
1990-03-07,337.929993,338.839996,336.329987,336.950012,336.950012,163580000
1990-03-08,336.950012,340.660004,336.950012,340.269989,340.269989,170900000
1990-03-09,340.119995,340.269989,336.839996,337.929993,337.929993,150410000
1990-03-12,337.929993,339.079987,336.140015,338.670013,338.670013,114790000
1990-03-13,338.670013,338.670013,335.359985,336.000000,336.000000,145440000
1990-03-14,336.000000,337.630005,334.929993,336.869995,336.869995,145060000
1990-03-15,336.869995,338.910004,336.869995,338.070007,338.070007,144410000
1990-03-16,338.070007,341.910004,338.070007,341.910004,341.910004,222520000
1990-03-19,341.910004,343.760010,339.119995,343.529999,343.529999,142300000
1990-03-20,343.529999,344.489990,340.869995,341.570007,341.570007,177320000
1990-03-21,341.570007,342.339996,339.559998,339.739990,339.739990,130990000
1990-03-22,339.739990,339.769989,333.619995,335.690002,335.690002,175930000
1990-03-23,335.690002,337.579987,335.690002,337.220001,337.220001,132070000
1990-03-26,337.220001,339.739990,337.220001,337.630005,337.630005,116110000
1990-03-27,337.630005,341.500000,337.029999,341.500000,341.500000,131610000
1990-03-28,341.500000,342.579987,340.600006,342.000000,342.000000,142300000
1990-03-29,342.000000,342.070007,339.769989,340.790009,340.790009,132190000
1990-03-30,340.790009,341.410004,338.209991,339.940002,339.940002,139340000
1990-04-02,339.940002,339.940002,336.329987,338.700012,338.700012,124360000
1990-04-03,338.700012,343.760010,338.700012,343.640015,343.640015,154310000
1990-04-04,343.640015,344.119995,340.399994,341.089996,341.089996,159530000
1990-04-05,341.089996,342.850006,340.630005,340.730011,340.730011,144170000
1990-04-06,340.730011,341.730011,338.940002,340.079987,340.079987,137490000
1990-04-09,340.079987,341.829987,339.880005,341.369995,341.369995,114970000
1990-04-10,341.369995,342.410004,340.619995,342.070007,342.070007,136020000
1990-04-11,342.070007,343.000000,341.260010,341.920013,341.920013,141080000
1990-04-12,341.920013,344.790009,341.910004,344.339996,344.339996,142470000
